quote_date,origin_port,dest_port,rate_20,rate_40,source,sender,raw_line,src_file
2026-03-06,SHENZHEN,NHAVA SHEVA,2050,2050,ocean_star,as23@oceanstarsz.com,KMTC USD2050/2050 ETD12/13-Mar(DCB),2026-03-06_as23.eml
2026-03-06,SHENZHEN,NHAVA SHEVA,2050,2050,ocean_star,as23@oceanstarsz.com,KMTC USD2050/2050 ETD15-Mar,2026-03-06_as23.eml
2026-03-06,SHENZHEN,NHAVA SHEVA,1300,1400,ocean_star,as23@oceanstarsz.com,ESL USD1300/1400 ETD11-Mar(DCB),2026-03-06_as23.eml
2026-03-06,SHENZHEN,NHAVA SHEVA,1380,1500,ocean_star,as23@oceanstarsz.com,ZIM USD1380/1500 CLS10-Mar(DCB),2026-03-06_as23.eml
2026-03-06,SHENZHEN,NHAVA SHEVA,1550,1750,ocean_star,as23@oceanstarsz.com,BEN USD1550/1750 CLS11-Mar,2026-03-06_as23.eml
2026-03-06,SHENZHEN,NHAVA SHEVA,1050,,ocean_star,as23@oceanstarsz.com,BEN USD1050/20GP CLS8-Mar,2026-03-06_as23.eml
2026-03-06,SHENZHEN,NHAVA SHEVA,2500,2500,ocean_star,as23@oceanstarsz.com,WHL USD2500/2500 CLS7/9-Mar,2026-03-06_as23.eml
2026-03-06,SHENZHEN,NHAVA SHEVA,1700,1700,ocean_star,as23@oceanstarsz.com,EMC USD1700/1700 CLS11-Mar (DCB),2026-03-06_as23.eml
2026-03-06,SHENZHEN,NHAVA SHEVA,2300,2400,ocean_star,as23@oceanstarsz.com,EMC USD2300/2400 CLS17-Mar (DCB),2026-03-06_as23.eml
2026-03-06,SHENZHEN,NHAVA SHEVA,2150,2450,ocean_star,as23@oceanstarsz.com,ONE USD2150/2450 CLS14-Mar,2026-03-06_as23.eml
2026-03-06,SHENZHEN,NHAVA SHEVA,2250,2250,ocean_star,as23@oceanstarsz.com,COSCO USD2250/2250 Valid from 8-Mar to 14-Mar,2026-03-06_as23.eml
2026-03-06,SHENZHEN,NHAVA SHEVA,2400,2500,ocean_star,as23@oceanstarsz.com,EMC USD2400/2500 CLS13/15-Mar,2026-03-06_as23.eml
2026-03-06,SHENZHEN,NHAVA SHEVA,1350,1450,ocean_star,as23@oceanstarsz.com,SKR USD1350/1450 CLS10-Mar,2026-03-06_as23.eml
2026-03-06,SHENZHEN,NHAVA SHEVA,2450,2450,ocean_star,as23@oceanstarsz.com,CUL USD2450/2450 CLS9-Mar,2026-03-06_as23.eml
2026-03-06,SHENZHEN,NHAVA SHEVA,2550,2550,ocean_star,as23@oceanstarsz.com,IAL USD2550/2550 CLS8/15-Mar,2026-03-06_as23.eml
2026-03-06,SHENZHEN,NHAVA SHEVA,2455,2460,ocean_star,as23@oceanstarsz.com,HPL USD2455/2460 ETD18-Mar,2026-03-06_as23.eml
2026-03-06,SHENZHEN,NHAVA SHEVA,2500,2500,ocean_star,as23@oceanstarsz.com,PIL USD2500/2500 ETD19-Mar,2026-03-06_as23.eml
2026-03-06,NANSHA,NHAVA SHEVA,1300,1400,ocean_star,as23@oceanstarsz.com,ESL USD1300/1400 ETD10-Mar,2026-03-06_as23.eml
2026-03-06,NANSHA,NHAVA SHEVA,2250,2250,ocean_star,as23@oceanstarsz.com,COSCO USD2250/2250 Valid from 8-Mar to 14-Mar,2026-03-06_as23.eml
2026-03-06,NANSHA,NHAVA SHEVA,2250,2550,ocean_star,as23@oceanstarsz.com,ONE USD2250/2550 Valid from 8-Mar to 14-Mar,2026-03-06_as23.eml
2026-03-06,NANSHA,NHAVA SHEVA,2400,2500,ocean_star,as23@oceanstarsz.com,EMC USD2400/2500 CLS16-Mar,2026-03-06_as23.eml
2026-03-06,NANSHA,NHAVA SHEVA,1500,1500,ocean_star,as23@oceanstarsz.com,RCL USD1500/1500 CLS7-Mar,2026-03-06_as23.eml
2026-03-06,NANSHA,NHAVA SHEVA,1900,1900,ocean_star,as23@oceanstarsz.com,MSC USD1900/1900 CLS7-Mar 10days free time,2026-03-06_as23.eml
2026-03-06,NANSHA,NHAVA SHEVA,3100,3100,ocean_star,as23@oceanstarsz.com,WHL USD3100/3100 ETD18-Mar,2026-03-06_as23.eml
2026-03-06,NANSHA,NHAVA SHEVA,3100,3100,ocean_star,as23@oceanstarsz.com,IAL USD3100/3100 ETD17-Mar,2026-03-06_as23.eml
2026-03-06,NINGBO,NHAVA SHEVA,1650,1650,ocean_star,as23@oceanstarsz.com,IAL USD1650/1650 ETD14/15/17-Mar,2026-03-06_as23.eml
