quote_date,origin_port,dest_port,rate_20,rate_40,source,sender,raw_line,src_file
2026-06-25,SHENZHEN,NHAVA SHEVA,1950,2000,ocean_star,as23@oceanstarsz.com,EMC USD1950/2000 CLS28/Jun 3-Jul,FW_ Update rate from China To India - Ocean Star.eml
2026-06-25,SHENZHEN,NHAVA SHEVA,2000,2100,ocean_star,as23@oceanstarsz.com,EMC USD2000/2100 CLS30-Jun 1-Jul,FW_ Update rate from China To India - Ocean Star.eml
2026-06-25,SHENZHEN,NHAVA SHEVA,2200,2200,ocean_star,as23@oceanstarsz.com,IAL USD2200/2200 CLS28/30-Jun,FW_ Update rate from China To India - Ocean Star.eml
2026-06-25,SHENZHEN,NHAVA SHEVA,2100,2100,ocean_star,as23@oceanstarsz.com,WHL USD2100/2100 CLS30-Jun,FW_ Update rate from China To India - Ocean Star.eml
2026-06-25,SHENZHEN,NHAVA SHEVA,2050,2150,ocean_star,as23@oceanstarsz.com,ESL USD2050/2150 ETD30-Jun 4-Jul,FW_ Update rate from China To India - Ocean Star.eml
2026-06-25,SHENZHEN,NHAVA SHEVA,2600,2600,ocean_star,as23@oceanstarsz.com,KMTC USD2600/2600 ETD1/5-Jul,FW_ Update rate from China To India - Ocean Star.eml
2026-06-25,SHENZHEN,NHAVA SHEVA,,2200,ocean_star,as23@oceanstarsz.com,RCL USD2200/40HQ CLS28/30-Jun,FW_ Update rate from China To India - Ocean Star.eml
2026-06-25,SHENZHEN,NHAVA SHEVA,,2150,ocean_star,as23@oceanstarsz.com,ONE USD2150/40HQ CLS29-Jun,FW_ Update rate from China To India - Ocean Star.eml
2026-06-25,SHENZHEN,NHAVA SHEVA,,2000,ocean_star,as23@oceanstarsz.com,SJJ USD2000/40HQ CLS6/10-Jun,FW_ Update rate from China To India - Ocean Star.eml
2026-06-25,SHENZHEN,NHAVA SHEVA,,2110,ocean_star,as23@oceanstarsz.com,HPL USD2110/40HQ ETD12-Jul,FW_ Update rate from China To India - Ocean Star.eml
2026-06-25,SHENZHEN,NHAVA SHEVA,2310,2310,ocean_star,as23@oceanstarsz.com,HMM USD2310/2310 CLS28-Jun 1-Jul,FW_ Update rate from China To India - Ocean Star.eml
2026-06-25,SHENZHEN,NHAVA SHEVA,2200,2200,ocean_star,as23@oceanstarsz.com,MSC USD2200/2200 CLS10-Jun,FW_ Update rate from China To India - Ocean Star.eml
2026-06-25,SHENZHEN,NHAVA SHEVA,2230,2250,ocean_star,as23@oceanstarsz.com,ZIM USD2230/2250 CLS1-Jul,FW_ Update rate from China To India - Ocean Star.eml
2026-06-25,SHENZHEN,NHAVA SHEVA,,2300,ocean_star,as23@oceanstarsz.com,COSCO USD2300/40HQ CLS28-Jun,FW_ Update rate from China To India - Ocean Star.eml
2026-06-25,SHENZHEN,NHAVA SHEVA,2100,2100,ocean_star,as23@oceanstarsz.com,COSCO USD2100/2100 CLS4-Jul,FW_ Update rate from China To India - Ocean Star.eml
2026-06-25,NANSHA,NHAVA SHEVA,1900,2000,ocean_star,as23@oceanstarsz.com,EMC USD1900/2000 CLS1-Jul,FW_ Update rate from China To India - Ocean Star.eml
2026-06-25,NANSHA,NHAVA SHEVA,2100,2100,ocean_star,as23@oceanstarsz.com,IAL USD2100/2100 CLS28-Jun 1-Jul,FW_ Update rate from China To India - Ocean Star.eml
